timestamp,battery_percent,current_now_mA
2025-04-12 11:47:26,75,1225000
2025-04-12 11:48:26,75,1202000
2025-04-12 11:49:26,74,1132000
2025-04-12 11:50:26,73,1686000
2025-04-12 11:51:26,73,1527000
2025-04-12 11:52:26,72,1392000
2025-04-12 11:53:26,71,2880000
2025-04-12 11:54:26,70,2304000
2025-04-12 11:55:26,69,1914000
2025-04-12 11:56:26,68,1532000
2025-04-12 11:57:26,68,1282000
2025-04-12 11:58:26,67,1293000
2025-04-12 11:59:26,67,1554000
2025-04-12 12:00:26,66,1681000
2025-04-12 12:01:26,65,1479000
